,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
80,2022-05-10,282.0634226404274,241.2011165827294,316.0383959207313,282.0634226404274,282.0634226404274,-4.373080797680495,-4.373080797680495,-4.373080797680495,-4.373080797680495,-4.373080797680495,-4.373080797680495,0.0,0.0,0.0,277.69034184274693
81,2022-05-11,281.6959736548822,240.40248496355497,315.8261895114798,281.6959736548822,281.6959736548822,-3.5406784866248935,-3.5406784866248935,-3.5406784866248935,-3.5406784866248935,-3.5406784866248935,-3.5406784866248935,0.0,0.0,0.0,278.15529516825734
82,2022-05-12,281.32852466933707,238.3635572535856,313.9784979563157,281.32852466933707,281.32852466933707,-4.219611184201243,-4.219611184201243,-4.219611184201243,-4.219611184201243,-4.219611184201243,-4.219611184201243,0.0,0.0,0.0,277.1089134851358
83,2022-05-13,280.96107568379193,234.96354900136157,309.629001881466,280.96107568379193,280.96107568379193,-5.745592871257501,-5.745592871257501,-5.745592871257501,-5.745592871257501,-5.745592871257501,-5.745592871257501,0.0,0.0,0.0,275.21548281253445
84,2022-05-16,279.85872872715646,242.55044101071428,314.43272208321656,279.85872872715646,279.85872872715646,-1.3388239440546195,-1.3388239440546195,-1.3388239440546195,-1.3388239440546195,-1.3388239440546195,-1.3388239440546195,0.0,0.0,0.0,278.5199047831018
85,2022-05-17,279.4912797416113,236.75841941843828,312.8380596239648,279.4912797416113,279.4912797416113,-4.373080797665585,-4.373080797665585,-4.373080797665585,-4.373080797665585,-4.373080797665585,-4.373080797665585,0.0,0.0,0.0,275.11819894394574
86,2022-05-18,279.1238307560662,238.84967534239985,310.11982010297436,279.1238307560662,279.1238307560662,-3.5406784866265095,-3.5406784866265095,-3.5406784866265095,-3.5406784866265095,-3.5406784866265095,-3.5406784866265095,0.0,0.0,0.0,275.58315226943967
87,2022-05-19,278.75638177052105,238.93599017123623,313.0844244883325,278.75638177052105,278.75638177052105,-4.219611184203857,-4.219611184203857,-4.219611184203857,-4.219611184203857,-4.219611184203857,-4.219611184203857,0.0,0.0,0.0,274.5367705863172
88,2022-05-20,278.3889327849759,234.73778766539965,308.2074519234283,278.3889327849759,278.3889327849759,-5.745592871252876,-5.745592871252876,-5.745592871252876,-5.745592871252876,-5.745592871252876,-5.745592871252876,0.0,0.0,0.0,272.643339913723
89,2022-05-23,277.2865860545556,239.74680328517755,315.71704420070887,277.2865860545556,277.2865860545556,-1.3388239440103082,-1.3388239440103082,-1.3388239440103082,-1.3388239440103082,-1.3388239440103082,-1.3388239440103082,0.0,0.0,0.0,275.9477621105453
90,2022-05-24,276.9191371444155,232.7453583148231,306.49456978655127,276.9191371444155,276.9191371444155,-4.373080797671937,-4.373080797671937,-4.373080797671937,-4.373080797671937,-4.373080797671937,-4.373080797671937,0.0,0.0,0.0,272.54605634674357
